id,suit,rank,name_en,name_kr,card_prompt,theme,keywords,filename,status,image_url,generated_at
0,major,0,The Fool,광대,"A carefree Korean jangter folk performer mid-step at the edge of a cliff, wearing a colorful patchwork hanbok and a half-raised traditional hahoetal mask, a small bundle on a bamboo staff over one shoulder, white butterflies swirling around, spring cherry blossoms falling, one foot lifted above the abyss, joyful expression of innocent freedom, vivid reds and yellows, mountain peaks and open sky below","a free spirit, unbound",pure heart; new beginnings; boundless possibility,major-00-fool.png,pending,,
1,major,1,The Magician,술사,"A confident Korean court magician standing at a low lacquered table displaying four traditional objects: a brass incense burner representing fire, a white porcelain cup representing water, a jade ceremonial sword representing metal, and a golden coin representing earth, one arm raised toward heaven and one pointed at earth, powerful commanding gaze, deep purple and gold robes with crane embroidery, infinity symbol above his head",overflowing confidence and drive,persuasive eloquence; proactive will; showing your talent,major-01-magician.png,pending,,
2,major,2,The High Priestess,무녀,"A serene Korean mudang shamaness seated between two lacquered red and blue pillars, wearing a white ceremonial mubok robe with flowing sleeves, holding an open scroll of celestial secrets, a crescent moon above her head, pomegranates flanking her throne, veil of moonlight silk hanging behind her, deep midnight blue atmosphere, silver and white tones, lotus flowers at her feet","clear, noble reason and intellect",unwavering composure; inner wisdom; trusting intuition,major-02-high-priestess.png,pending,,
3,major,3,The Empress,왕비,"A majestic Joseon queen seated on a flower-covered stone throne, wearing a luxurious scarlet daeryebok ceremonial dress with golden embroidery, crown jewels gleaming, surrounded by blooming peonies and abundant harvest fruits, a pair of phoenixes flying overhead, fertile garden landscape behind her, warm gold and crimson, abundance and maternal power","one who holds love, beauty, and fruition",warm affection; beautiful surroundings; mature charm,major-03-empress.png,pending,,
4,major,4,The Emperor,황제,"A commanding Joseon king seated on a golden dragon throne, wearing imperial jade-green and gold gonryongpo dragon robe, a white celestial dragon coiling protectively behind him, mountain and sky background suggesting vast dominion, strict determined expression, golden scepter and jade seal of authority in his hands, deep blue and gold palette",a coolheaded ambition risen to the top,overflowing confidence; dignified presence; reliable leadership,major-04-emperor.png,pending,,
5,major,5,The Hierophant,대사,"A venerable Buddhist high monk in saffron and crimson ceremonial robes, seated before a stone Buddha altar between two painted temple pillars, two young monks kneeling in devotion at his feet, holding a lotus staff, temple bell visible in background, dancheong painted pagoda pillars flanking him, incense smoke curling upward, serene wisdom, warm amber and burgundy",a trustworthy spiritual supporter,true guidance; inner peace; firm trust,major-05-hierophant.png,pending,,
6,major,6,The Lovers,연인,"A Joseon bride and groom in full traditional wedding attire standing together under a canopy of golden phoenixes, the groom in blue jeogori silk jacket and the bride in red with a green ceremonial overcoat, peach blossoms and red berries surrounding them, hands reaching toward each other, two phoenixes above blessing the union, glowing soft golden light",dreamlike happiness and joy,lasting joy; fluttering excitement; falling in love,major-06-lovers.png,pending,,
7,major,7,The Chariot,장군,"A triumphant Joseon military general standing in a war chariot pulled by a black horse and a white horse side by side, wearing full ornate tiger-face breastplate armor, five-direction battle flags flying behind him, mountains conquered in the background, fierce focus and iron will, bold reds and blacks with gold accents",the strength to charge head-on without fear,momentum toward victory; strong conviction; overflowing energy,major-07-chariot.png,pending,,
8,major,8,Strength,힘,"A graceful Joseon noblewoman in flowing pink and white hanbok gently cradling open the mouth of a massive white tiger, her expression calm and compassionate and fearless, delicate chrysanthemums blooming around them, the tiger's fierce eyes softened by her gentle touch, soft golden morning light, balance of beauty and raw power",gentle mental strength that tames power,mastering your impulses; gentle yet strong; firm willpower,major-08-strength.png,pending,,
9,major,9,The Hermit,은자,"An elderly Joseon scholar-hermit alone on a mountain path at dusk, wearing a simple grey hemp durumagi coat and a tall black gat hat, holding a paper lantern that illuminates the rocky path ahead with warm amber light, a lone pine tree bent by wind beside him, misty mountain peaks receding into blue distance behind, quiet wisdom, cool blue-grey and lantern amber",looking into the light within,inner reflection; wisdom and maturity; quiet serenity,major-09-hermit.png,pending,,
10,major,10,Wheel of Fortune,운명의 수레바퀴,"A giant circular yut-board floating in cosmic indigo space as the wheel of fate, the eight trigrams of the I Ching arranged around its golden rim, four Korean mythological guardians at the cardinal directions: azure dragon east, white tiger west, red phoenix south, black tortoise north, figures of different Joseon social classes ascending and descending the spokes, cosmic swirling energy, deep indigo and gold",a fleeting moment that arrives like fate,rising fortune; approaching luck; a fateful moment,major-10-wheel.png,pending,,
11,major,11,Justice,정의,"A severe Joseon magistrate in formal black court robes seated at a raised judicial bench, holding a white ceremonial fan in one hand and a jade magistrate scepter in the other, two brass scales hanging in perfect balance before him, petitioners kneeling below, solemn hall with red lacquered pillars, precise and impartial expression, black and crimson robes",a rational and right choice,fairness and neutrality; honesty and impartiality; principle and balance,major-11-justice.png,pending,,
12,major,12,The Hanged Man,거꾸로 매달린 자,"A young Joseon scholar hanging upside down by one ankle from an ancient zelkova tree branch, calm and enlightened expression as if in voluntary meditation, loose white hemp robes flowing downward toward the earth, a halo of soft golden light encircling his face, the world seen differently from below, moss and autumn leaves on the tree, muted earth tones with golden glow",finding insight within confinement,an isolating pause; a shift in perspective; patience and realization,major-12-hanged-man.png,pending,,
